minute,req_count,unique_hosts,status_2xx,status_3xx,status_4xx,status_5xx,error_rate,bytes_sum,bytes_mean,method_GET,method_POST,method_HEAD,path_depth_mean,resource_entropy,host_entropy,static_ratio,robots_ratio,req_roll_mean,req_roll_std,err_roll_mean,err_roll_std,req_count_ratio,error_rate_ratio,req_z,err_z,iso_score,is_anomaly,any_error,is_actionable
1995-08-01 05:36:00+00:00,40,11,33,1,6,0,0.15,305973,7649.325,1.0,0.0,0.0,3.35,4.615311532225102,3.062414584697268,0.55,0.0,24.583333333333332,9.070891546387696,0.007463230345825994,0.02468917594893756,1.6271186440016088,20.098532800258347,1.6995756796482124,5.77324914268994,-0.5887633796484445,1,True,True
1995-08-01 06:53:00+00:00,11,6,8,1,2,0,0.18181818181818182,460043,41822.09090909091,1.0,0.0,0.0,3.090909090909091,3.0271691184406184,2.3685225277282065,0.7272727272727273,0.0,17.616666666666667,8.795398771404468,0.005993265993265993,0.028431547428182134,0.6244087038434584,30.337073589825362,-0.7522872854186481,6.184148438803753,-0.5797259545410546,1,True,True
1995-08-01 07:16:00+00:00,17,11,11,0,6,0,0.35294117647058826,60382,3551.8823529411766,1.0,0.0,0.0,2.5294117647058822,3.1751231351134606,3.219528282299547,0.7058823529411765,0.0,17.333333333333332,8.882789809640919,0.018379146271303135,0.058715972055249435,0.980769230712648,19.20334884206865,-0.037525748153358726,5.697973018082751,-0.6058543681672778,1,True,True
1995-08-01 07:20:00+00:00,44,18,29,8,7,0,0.1590909090909091,1548268,35187.90909090909,1.0,0.0,0.0,2.9318181818181817,4.768377710533509,3.7378723922315147,0.6136363636363636,0.0,18.15,9.50793602511227,0.02420526459742146,0.06510894970748766,2.4242424241088574,6.572574403309036,2.7187814399472656,2.0716912656062125,-0.583688027632645,1,True,True
1995-08-01 07:23:00+00:00,24,11,17,0,7,0,0.2916666666666667,184231,7676.291666666667,1.0,0.0,0.0,3.0833333333333335,3.56803033586421,3.236440501696144,0.5416666666666666,0.0,17.766666666666666,9.12319945861004,0.031733042375199236,0.07541021380084516,1.3508442775975136,9.191260454224727,0.6832398393709754,3.4469285756305026,-0.5709299356242453,1,True,True
1995-08-01 07:37:00+00:00,19,4,10,2,7,0,0.3684210526315789,67742,3565.3684210526317,1.0,0.0,0.0,2.526315789473684,3.003112542159205,1.9312952802328744,0.8947368421052632,0.0,19.316666666666666,9.428574791497944,0.04994448062114471,0.0885282776338564,0.9836065573261291,7.376611803206755,-0.03358584660309736,3.597455829087332,-0.5924372019034683,1,True,True
1995-08-01 07:38:00+00:00,26,9,9,1,16,0,0.6153846153846154,746547,28713.346153846152,1.0,0.0,0.0,2.8076923076923075,2.2389012566026305,2.1866610090529672,0.7307692307692307,0.0,19.25,9.365687465152556,0.05908977976644385,0.11474532044045524,1.350649350579187,10.41440004350266,0.7207159137430532,4.848082942596048,-0.6050526518569092,1,True,True
1995-08-01 11:22:00+00:00,23,7,21,0,2,0,0.08695652173913043,1577082,68568.78260869565,1.0,0.0,0.0,2.347826086956522,4.0559581516151235,2.3649210651115973,0.4782608695652174,0.0,18.416666666666668,10.231708220397273,0.0019394714407502131,0.01178967920375027,1.248868778212731,44.83514171796869,0.44795387379678603,7.211141339638416,-0.5875526677854722,1,True,True
1995-08-01 12:36:00+00:00,49,13,42,1,6,0,0.12244897959183673,1215895,24814.183673469386,1.0,0.0,0.0,2.0408163265306123,3.7582223561411663,3.274540650229526,0.6530612244897959,0.0,39.8,15.347721080762447,0.006793149709168733,0.01819320003236391,1.231155778863539,18.025358899599713,0.5994375289327011,6.357090743785422,-0.5894968501312351,1,True,True
1995-08-01 13:02:00+00:00,106,23,99,7,0,0,0.0,946868,8932.716981132075,0.9433962264150944,0.0,0.05660377358490566,2.5377358490566038,5.276217659337054,4.26313389088968,0.6792452830188679,0.0,49.483333333333334,17.646713495014847,0.009693485959696792,0.023396213984575562,2.142135399080994,0.0,3.202673782822496,-0.4143185539236763,-0.5594682784548828,1,False,True
1995-08-01 14:10:00+00:00,40,12,28,9,3,0,0.075,220059,5501.475,0.85,0.0,0.15,2.275,4.277567157116929,3.2143340317924087,0.75,0.0,52.733333333333334,15.321267667456587,0.0056173771157991695,0.01445581652172988,0.7585335018819495,13.351424535417792,-0.8310887590293009,4.799633281196679,-0.624072856982582,1,True,True
1995-08-01 14:44:00+00:00,163,30,128,35,0,0,0.0,1414435,8677.515337423312,1.0,0.0,0.0,2.374233128834356,5.179032114279139,4.535740670834782,0.7177914110429447,0.0,58.75,21.550590852728195,0.005491140971981257,0.012339823013941407,2.774468085059158,0.0,4.837454374572984,-0.4449934590458845,-0.608487637112967,1,False,True
1995-08-01 16:36:00+00:00,56,20,52,3,1,0,0.017857142857142856,514436,9186.357142857143,0.8928571428571429,0.0,0.10714285714285714,2.892857142857143,4.820136841430028,3.991451627919908,0.5178571428571429,0.0,65.06666666666666,18.512356539154215,0.004049983428573588,0.008422233244972434,0.8606557376916908,4.40918802826908,-0.48976296707556466,1.6393701513124395,-0.5586783104445118,1,True,True
1995-08-01 16:38:00+00:00,107,35,91,14,2,0,0.018691588785046728,3244995,30327.056074766355,1.0,0.0,0.0,2.607476635514019,4.948125197155614,4.747530268751619,0.6448598130841121,0.0,66.66666666666667,19.74126424837809,0.004361509908324366,0.00861340901224211,1.6049999999759248,4.285576530227638,2.0430977886638617,1.6636940371299214,-0.600060850021493,1,True,True
